site,thetai,mean,rms
Irnini,45.7496,-10.25,1.816
Irnini,45.5381,-11.289,1.951
Irnini,45.9392,-10.987,2.547
Anala,45.9781,-11.8,1.968
Pavlova,45.7741,-15.046,1.578
Pavlova,45.9331,-10.672,2.005
Pavlova,45.9733,-14.24,2.225
Didilia,45.5317,-10.363,2.037
Hathor,28.9076,-9.0057,1.6003
Hathor,28.1987,-9.1356,1.6693
Innini,30.3968,-10.6616,1.6059
Irnini,25.57,-8.2916,2.4809
Irnini,25.5838,-8.283,3.215
Irnini,25.5825,-8.5599,2.6759
Anala,25.5805,-9.503,2.5863
Pavlova,25.5902,-10.1147,2.9603
Didilia,25.5184,-8.4171,2.7329
